Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2026-09-22,Members Exchange (U),51125535.000000,66126196.000000,195052190.000000,312303921.000000,2858343516.744600,3070152692.513700,7192717904.036502,13121214113.294802,593151,373965,1174868,2141984
2026-09-22,Investors Exchange (V),300683428.000000,142547571.000000,333739174.000000,776970173.000000,16235360668.001501,7616715481.166099,18802154943.103594,42654231092.271194,3329097,636345,3158995,7124437
2026-09-22,NASDAQ PSX (X),5951929.000000,3734414.000000,9766790.000000,19453133.000000,373088825.831800,304334254.173200,643335865.499700,1320758945.504700,71982,24820,105191,201993
2026-09-22,BYX Equities (Y),36379305.000000,29956420.000000,60771347.000000,127107072.000000,1715335511.975200,1497575272.896600,2693386382.234801,5906297167.106601,483239,193906,624695,1301840
2026-09-22,BZX Equities (Z),193001982.000000,152773879.000000,253679453.000000,599455314.000000,11560866702.642504,9737045194.272397,18945941051.533405,40243852948.448306,2762105,1018881,2965075,6746061
2026-09-21,NYSE American (A),6719834.000000,23985546.000000,8455352.000000,39160732.000000,425844324.551800,416260300.693400,707601537.870300,1549706163.115500,84048,91525,95225,270798
2026-09-21,NASDAQ Texas (B),10210129.000000,12013791.000000,25368415.000000,47592335.000000,746829851.922500,579216169.620300,1371600677.260100,2697646698.802900,136618,71925,211689,420232
2026-09-21,NYSE National (C),20034780.000000,8618297.000000,22119157.000000,50772234.000000,747544920.347000,425337603.882100,876533789.402500,2049416313.631600,260288,66681,237215,564184
2026-09-21,FINRA / Nasdaq TRF Chicago (DB),15089278.924870,10970735.093387,39707474.866967,65767488.885224,875225235.550828,532857286.203969,4291500565.833609,5699583087.588406,137970,62763,365009,565742
2026-09-21,FINRA / NYSE TRF (DN),106948958.134848,91594740.748543,315692060.880182,514235759.763573,6199870861.059822,4671869225.433425,14243203326.252418,25114943412.745665,856710,331297,1493900,2681907
2026-09-21,FINRA / Nasdaq TRF Carteret (DQ),2191843169.700561,1550533253.179823,4468546454.581574,8210922877.461958,127040903092.455475,89615758309.110480,260817755443.351999,477474416844.917954,21551138,6628156,31772939,59952233
2026-09-21,Texas Stock Exchange (F),6102332.000000,4125592.000000,15441891.000000,25669815.000000,178005271.040000,168449500.227700,456839365.345400,803294136.613100,47607,25567,105114,178288
2026-09-21,24X National Exchange (G),1392756.000000,2219427.000000,3750283.000000,7362466.000000,66138592.812100,69289068.611500,265658813.821500,401086475.245100,12106,10103,36878,59087
2026-09-21,MIAX Pearl (H),17534132.000000,29299115.000000,59182268.000000,106015515.000000,773435889.606000,1197043311.102400,2083594192.036800,4054073392.745200,185699,158098,393344,737141
2026-09-21,EDGA Equities (J),26188189.000000,21574800.000000,76716593.000000,124479582.000000,1285605075.109500,1293910209.637000,2301588331.944399,4881103616.690899,332696,139462,536151,1008309
