Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2026-07-27,Texas Stock Exchange (F),1021484.000000,72503.000000,965129.000000,2059116.000000,39835150.450000,7211549.155000,58543969.620000,105590669.225000,4758,491,6670,11919
2026-07-27,NASDAQ (Q),445989372.000000,247769566.000000,1669754195.000000,2363513133.000000,26798611835.278596,18409745218.529214,139966029060.306860,185174386114.114670,6519408,2088276,13460644,22068328
2026-07-24,Texas Stock Exchange (F),1749959.000000,1170864.000000,2299003.000000,5219826.000000,60565168.640000,45134990.425000,123611417.290000,229311576.355000,8474,8817,15098,32389
2026-07-24,NASDAQ (Q),440499914.000000,236810424.000000,1565736676.000000,2243047014.000000,26547378125.600804,18320258366.615707,132234151074.483253,177101787566.699764,6366806,2062002,12814682,21243490
2026-07-23,Texas Stock Exchange (F),1816199.000000,848297.000000,2239023.000000,4903519.000000,62723525.590000,31872021.585000,129055922.620000,223651469.795000,9055,7683,14811,31549
2026-07-23,NASDAQ (Q),489774876.000000,256311446.000000,1646086438.000000,2392172760.000000,28994561222.624911,20399130324.563714,146109655587.499634,195503347134.688259,6899828,2224236,13554396,22678460
2026-07-22,Texas Stock Exchange (F),765444.000000,501994.000000,878279.000000,2145717.000000,30631396.695000,17225685.730000,30887431.495000,78744513.920000,3945,4802,5042,13789
2026-07-22,NASDAQ (Q),428965752.000000,200935057.000000,1476260782.000000,2106161591.000000,25701206129.344790,14460764093.974505,120454202674.542725,160616172897.862020,6117239,1666817,11790712,19574768
2026-07-21,Texas Stock Exchange (F),514874.000000,388981.000000,529064.000000,1432919.000000,19226562.840000,16077059.995000,23392996.486900,58696619.321900,2481,3528,3444,9453
2026-07-21,NASDAQ (Q),427463224.000000,212842203.000000,1624238006.000000,2264543433.000000,25432300604.390004,15170357389.530506,135771359301.443235,176374017295.363745,6018988,1865977,12126710,20011675
2026-07-20,Texas Stock Exchange (F),418645.000000,495786.000000,231328.000000,1145759.000000,15799838.945000,16002626.015000,12482007.100000,44284472.060000,2075,4949,2157,9181
2026-07-20,NASDAQ (Q),436754803.000000,233717503.000000,1511799475.000000,2182271781.000000,24903487193.841995,17835837481.014296,118829963663.220464,161569288338.076755,6236503,2005953,12032417,20274873
2026-07-17,Texas Stock Exchange (F),5378.000000,42740.000000,17979.000000,66097.000000,120269.530000,370237.800000,247262.905000,737770.235000,54,82,82,218
2026-07-17,NASDAQ (Q),454600330.000000,345257447.000000,1802812550.000000,2602670327.000000,28216947953.186312,25410281409.005510,167170122263.682201,220797351625.874023,6930159,2835719,14532427,24298305
2026-07-16,Texas Stock Exchange (F),12681.000000,2679.000000,13088.000000,28448.000000,82238.010000,189998.440000,672116.430000,944352.880000,32,42,78,152
2026-07-16,NASDAQ (Q),475308098.000000,268816647.000000,1770076875.000000,2514201620.000000,30046786387.666994,19857743161.805593,157520474975.143037,207425004524.615624,6882295,2335142,14288764,23506201
2026-07-15,Texas Stock Exchange (F),400.000000,20221.000000,4550.000000,25171.000000,7095.000000,83684.620000,36434.100000,127213.720000,4,24,22,50
2026-07-15,NASDAQ (Q),460348157.000000,285648020.000000,1624113535.000000,2370109712.000000,28419395444.616798,20740443752.248206,151047041296.731614,200206880493.596618,6847245,2467841,13845510,23160596
2026-07-14,Texas Stock Exchange (F),702.000000,6201.000000,1803.000000,8706.000000,35010.950000,321373.050000,17377.440000,373761.440000,9,63,13,85
2026-07-14,NASDAQ (Q),430867103.000000,313336804.000000,1633743033.000000,2377946940.000000,26978145951.598898,18952239452.712090,128718261143.535012,174648646547.846000,6391612,2254287,12276409,20922308
2026-07-13,Texas Stock Exchange (F),304.000000,9381.000000,267.000000,9952.000000,14997.110000,489466.210000,15305.975000,519769.295000,7,99,17,123
2026-07-13,NASDAQ (Q),430225462.000000,318212530.000000,1620692974.000000,2369130966.000000,24390508888.930900,20724879309.315291,139177147234.930245,184292535433.176436,6189627,2421639,13126444,21737710
2026-07-10,Texas Stock Exchange (F),2017.000000,623.000000,2157.000000,4797.000000,96486.935000,32270.060000,120874.160000,249631.155000,30,17,53,100
2026-07-10,NASDAQ (Q),351133567.000000,251964858.000000,1483091466.000000,2086189891.000000,20125561153.524102,17191555018.980607,121069538760.558352,158386654933.063061,5229157,1914442,11223338,18366937
